Nom;Section;operations;Poids;Montant
1-VIANDE TAJINE;"1-VIANDE ROUGE  
";6;5,49;603,9
2-VIANDE HACHEE NATURE  ;"1-VIANDE ROUGE  
";CODE_COMM;--> AHMED;
48657;26/07/2024;604;PILON NATURE;
48657;26/07/2024;605;PILON PLT MARINEE;
48658;26/07/2024;70221;SANDWICH POULET;
48658;26/07/2024;70240;FRITE;
48659;26/07/2024;618;STEAK BROCHETTE FILET  MARINE;
48659;26/07/2024;605;PILON PLT MARINEE;
48660;26/07/2024;175;COUT GRILLADE;
48660;26/07/2024;618;STEAK BROCHETTE FILET  MARINE;
48660;26/07/2024;3;SAUCISSE BF;
48660;26/07/2024;4;VIANDE HACHEE;
48660;26/07/2024;70240;FRITE;
48661;26/07/2024;5748;L FAMILA;
48661;26/07/2024;CODE_COMM;--> 22H30;
48661;26/07/2024;19;COTLETTE AGN;
48661;26/07/2024;175;COUT GRILLADE;
48662;26/07/2024;506;CUISSE POIVRE;
48663;26/07/2024;618;STEAK BROCHETTE FILET  MARINE;
48664;26/07/2024;601;FILET DE POULET NATURE;
48665;26/07/2024;5944;TACOS V HACHEE;
48665;26/07/2024;2376;--> TACOS;
48665;26/07/2024;4360;--> ALGERIENNE;
48665;26/07/2024;5485;--> SHEEZY;
48665;26/07/2024;590;BOISSON 25;
48665;26/07/2024;9241;--> 7UP;
48665;26/07/2024;CODE_COMM;--> glo;
